date,year,month,semester,quarter,decade,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted,gdp_per_capita,log_gdp_per_capita,inflation_rate,unemployment_rate,population,log_population,urban_pct,continent,income_group,eu_member
4/1/00,2000,4,H1,2,2000,RUS,RUB,Russia,39.5,28.5,1.385964912,-0.44782,-0.41786,-0.53832,-0.5003,0.15917,,,,,,,,1771.594116,7.479635051,20.79876066,10.581,146596869,18.80319699,73.35,Europe,Upper middle income,0
4/1/00,2000,4,H1,2,2000,SGP,SGD,Singapore,3.2,1.7,1.882352941,-0.25006,-0.20936,-0.37297,-0.32133,0.57433,,,,,,,,23852.83895,10.07965852,1.361623924,3.7,4027887,15.20875248,100,Asia,High income,0
4/1/00,2000,4,H1,2,2000,SWE,SEK,Sweden,24,8.84,2.714932127,0.08165,0.14034,-0.09563,-0.02115,1.27067,,,,,,,,29632.77361,10.29663624,0.899143734,5.466,8872109,15.99842309,84.026,Europe,High income,1
4/1/00,2000,4,H1,2,2000,THA,THB,Thailand,55,38,1.447368421,-0.42336,-0.39207,-0.51787,-0.47816,0.21053,,,,,,,,2005.976945,7.603886476,1.591969175,2.389,63007815,17.95876932,31.386,Asia,Upper middle income,0
4/1/00,2000,4,H1,2,2000,TWN,TWD,Taiwan,70,30.6,2.287581699,-0.08861,-0.03915,-0.23798,-0.17523,0.91325,,,,,,,,,,,,,,,Asia,High income,0
4/1/00,2000,4,H1,2,2000,USA,USD,United States,2.51,1,2.51,0,0.05427,-0.16389,-0.09503,1.09927,,,,,,,,36329.97026,10.50039831,3.376857271,3.992,282162411,19.45799339,79.057,North America,High income,0
4/1/00,2000,4,H1,2,2000,ZAF,ZAR,South Africa,9,6.72,1.339285714,-0.46642,-0.43746,-0.55387,-0.51713,0.12013,,,,,,,,,,,,,,,Africa,Upper middle income,0
4/1/01,2001,4,H1,2,2000,ARG,ARS,Argentina,2.5,1,2.5,-0.01575,0.10541,-0.12148,0.05442,1.09091,,,,,,,,7141.475077,8.873674627,,17.32,37624825,17.44317463,89.329,South America,Upper middle income,0
4/1/01,2001,4,H1,2,2000,AUS,AUD,Australia,3,1.98,1.515151515,-0.40348,-0.33005,-0.46756,-0.36096,0.26722,,,,,,,,19695.72974,9.888157127,4.407135362,6.747,19274701,16.77430396,84.1,Oceania,High income,0
4/1/01,2001,4,H1,2,2000,BRA,BRL,Brazil,3.6,2.19,1.643835616,-0.35282,-0.27315,-0.42234,-0.30668,0.37484,,,,,,,,3176.289357,8.063468926,6.840359025,10.649,176301203,18.98770447,81.553,South America,Upper middle income,0
4/1/01,2001,4,H1,2,2000,CAN,CAD,Canada,3.33,1.56,2.134615385,-0.1596,-0.05615,-0.24988,-0.09969,0.78531,,,,,,,,23822.09621,10.07836884,2.52512014,7.219,31020855,17.25017028,79.81,North America,High income,0
